X: (19580, 20, 84)
Y: (19580, 77)
Device: cpu
Epoch 058 | Train 0.051239 | Val 0.061006 | Pred 0.030984 | Latent 0.004281 | Recon 0.025741
Epoch 059 | Train 0.052159 | Val 0.055845 | Pred 0.028822 | Latent 0.003603 | Recon 0.023420
Epoch 060 | Train 0.049996 | Val 0.056476 | Pred 0.029251 | Latent 0.003983 | Recon 0.023242
Epoch 061 | Train 0.050434 | Val 0.057468 | Pred 0.029073 | Latent 0.003663 | Recon 0.024732
Epoch 062 | Train 0.050881 | Val 0.057718 | Pred 0.029737 | Latent 0.003867 | Recon 0.024114
Epoch 063 | Train 0.049325 | Val 0.054651 | Pred 0.028650 | Latent 0.003740 | Recon 0.022261
Epoch 064 | Train 0.048561 | Val 0.055634 | Pred 0.029158 | Latent 0.003778 | Recon 0.022698
Epoch 065 | Train 0.048947 | Val 0.057753 | Pred 0.030658 | Latent 0.003820 | Recon 0.023275
Epoch 066 | Train 0.046990 | Val 0.053996 | Pred 0.028123 | Latent 0.003987 | Recon 0.021886
Epoch 067 | Train 0.046896 | Val 0.050023 | Pred 0.025499 | Latent 0.003314 | Recon 0.021211
Epoch 068 | Train 0.046783 | Val 0.057053 | Pred 0.029665 | Latent 0.004446 | Recon 0.022942
Epoch 069 | Train 0.048111 | Val 0.053304 | Pred 0.028007 | Latent 0.003446 | Recon 0.021851
Epoch 070 | Train 0.046549 | Val 0.051381 | Pred 0.026570 | Latent 0.003441 | Recon 0.021370
Epoch 071 | Train 0.046369 | Val 0.055064 | Pred 0.029187 | Latent 0.003676 | Recon 0.022201
Epoch 072 | Train 0.045898 | Val 0.051459 | Pred 0.026123 | Latent 0.003456 | Recon 0.021881
Epoch 073 | Train 0.044743 | Val 0.052383 | Pred 0.027415 | Latent 0.003446 | Recon 0.021522
Epoch 074 | Train 0.044530 | Val 0.050014 | Pred 0.025964 | Latent 0.003373 | Recon 0.020678
Epoch 075 | Train 0.043932 | Val 0.049457 | Pred 0.025581 | Latent 0.003299 | Recon 0.020577
Epoch 076 | Train 0.043234 | Val 0.050225 | Pred 0.026162 | Latent 0.003283 | Recon 0.020780
Epoch 077 | Train 0.043310 | Val 0.047274 | Pred 0.024303 | Latent 0.003178 | Recon 0.019793
Epoch 078 | Train 0.042896 | Val 0.049180 | Pred 0.025505 | Latent 0.003205 | Recon 0.020469
Epoch 079 | Train 0.042981 | Val 0.052894 | Pred 0.028147 | Latent 0.003244 | Recon 0.021502
Epoch 080 | Train 0.042228 | Val 0.050191 | Pred 0.026244 | Latent 0.003216 | Recon 0.020732
Epoch 081 | Train 0.042428 | Val 0.047797 | Pred 0.025058 | Latent 0.003218 | Recon 0.019520
Epoch 082 | Train 0.041639 | Val 0.050198 | Pred 0.026636 | Latent 0.003488 | Recon 0.020073
Epoch 083 | Train 0.042056 | Val 0.056810 | Pred 0.032123 | Latent 0.004383 | Recon 0.020303
Epoch 084 | Train 0.045126 | Val 0.047067 | Pred 0.024237 | Latent 0.003297 | Recon 0.019532
Epoch 085 | Train 0.043091 | Val 0.050149 | Pred 0.026711 | Latent 0.003264 | Recon 0.020174
Epoch 086 | Train 0.041543 | Val 0.045637 | Pred 0.023934 | Latent 0.003053 | Recon 0.018650
Epoch 087 | Train 0.041861 | Val 0.059454 | Pred 0.033766 | Latent 0.004340 | Recon 0.021348
Epoch 088 | Train 0.042184 | Val 0.044703 | Pred 0.023306 | Latent 0.003057 | Recon 0.018340
Epoch 089 | Train 0.038581 | Val 0.044550 | Pred 0.023448 | Latent 0.002971 | Recon 0.018132
Epoch 090 | Train 0.039129 | Val 0.049221 | Pred 0.025618 | Latent 0.003651 | Recon 0.019952
Epoch 091 | Train 0.040135 | Val 0.047530 | Pred 0.025399 | Latent 0.003266 | Recon 0.018865
Epoch 092 | Train 0.039180 | Val 0.044614 | Pred 0.022983 | Latent 0.003108 | Recon 0.018524
Epoch 093 | Train 0.038902 | Val 0.046611 | Pred 0.024013 | Latent 0.002970 | Recon 0.019628
Epoch 094 | Train 0.038605 | Val 0.042220 | Pred 0.022203 | Latent 0.002867 | Recon 0.017150
Epoch 095 | Train 0.039610 | Val 0.046141 | Pred 0.024271 | Latent 0.003339 | Recon 0.018531
Epoch 096 | Train 0.039086 | Val 0.047790 | Pred 0.026016 | Latent 0.003124 | Recon 0.018649
Epoch 097 | Train 0.038656 | Val 0.046659 | Pred 0.024430 | Latent 0.003020 | Recon 0.019208
Epoch 098 | Train 0.037688 | Val 0.043736 | Pred 0.022803 | Latent 0.002997 | Recon 0.017936
Epoch 099 | Train 0.037254 | Val 0.042009 | Pred 0.021774 | Latent 0.002852 | Recon 0.017383
Epoch 100 | Train 0.037283 | Val 0.041566 | Pred 0.021521 | Latent 0.002779 | Recon 0.017266
Epoch 101 | Train 0.036429 | Val 0.044886 | Pred 0.023453 | Latent 0.003004 | Recon 0.018430
Epoch 102 | Train 0.036950 | Val 0.043317 | Pred 0.022274 | Latent 0.002999 | Recon 0.018044
Epoch 103 | Train 0.036433 | Val 0.042352 | Pred 0.022447 | Latent 0.002983 | Recon 0.016922
Epoch 104 | Train 0.036775 | Val 0.043554 | Pred 0.022865 | Latent 0.003152 | Recon 0.017537
Epoch 105 | Train 0.037729 | Val 0.042463 | Pred 0.022479 | Latent 0.003087 | Recon 0.016897
Epoch 106 | Train 0.036733 | Val 0.043275 | Pred 0.022749 | Latent 0.003000 | Recon 0.017526
Epoch 107 | Train 0.035707 | Val 0.043215 | Pred 0.022943 | Latent 0.002820 | Recon 0.017451
Epoch 108 | Train 0.036361 | Val 0.045594 | Pred 0.024085 | Latent 0.003436 | Recon 0.018073
Epoch 109 | Train 0.036576 | Val 0.043107 | Pred 0.023194 | Latent 0.002931 | Recon 0.016982
Epoch 110 | Train 0.036977 | Val 0.039997 | Pred 0.020938 | Latent 0.003048 | Recon 0.016011
Epoch 111 | Train 0.035537 | Val 0.043195 | Pred 0.023399 | Latent 0.003043 | Recon 0.016752
Epoch 112 | Train 0.034452 | Val 0.042475 | Pred 0.022588 | Latent 0.002982 | Recon 0.016905
Epoch 113 | Train 0.034192 | Val 0.044996 | Pred 0.024240 | Latent 0.002909 | Recon 0.017847
Epoch 114 | Train 0.034443 | Val 0.043052 | Pred 0.023087 | Latent 0.002747 | Recon 0.017217
Epoch 115 | Train 0.035240 | Val 0.043634 | Pred 0.023430 | Latent 0.003014 | Recon 0.017190
Epoch 116 | Train 0.034935 | Val 0.043062 | Pred 0.023163 | Latent 0.002941 | Recon 0.016957
Epoch 117 | Train 0.036294 | Val 0.039044 | Pred 0.020824 | Latent 0.002677 | Recon 0.015543
Epoch 118 | Train 0.034836 | Val 0.039779 | Pred 0.021214 | Latent 0.002785 | Recon 0.015780
Epoch 119 | Train 0.033341 | Val 0.038646 | Pred 0.020651 | Latent 0.002761 | Recon 0.015234
Epoch 120 | Train 0.033014 | Val 0.039820 | Pred 0.021239 | Latent 0.002764 | Recon 0.015818
Epoch 121 | Train 0.032546 | Val 0.038198 | Pred 0.020043 | Latent 0.002636 | Recon 0.015519
Epoch 122 | Train 0.032308 | Val 0.037722 | Pred 0.019985 | Latent 0.002558 | Recon 0.015179
Epoch 123 | Train 0.032402 | Val 0.045945 | Pred 0.024841 | Latent 0.002921 | Recon 0.018183
Epoch 124 | Train 0.033146 | Val 0.037268 | Pred 0.019901 | Latent 0.002610 | Recon 0.014757
Epoch 125 | Train 0.031597 | Val 0.038800 | Pred 0.020391 | Latent 0.002597 | Recon 0.015813
Epoch 126 | Train 0.031549 | Val 0.037768 | Pred 0.019991 | Latent 0.002617 | Recon 0.015160
Epoch 127 | Train 0.031502 | Val 0.038597 | Pred 0.020329 | Latent 0.002661 | Recon 0.015607
Epoch 128 | Train 0.031481 | Val 0.039224 | Pred 0.021160 | Latent 0.002663 | Recon 0.015401
Epoch 129 | Train 0.032063 | Val 0.041494 | Pred 0.022280 | Latent 0.002739 | Recon 0.016476
Epoch 130 | Train 0.031435 | Val 0.040087 | Pred 0.021689 | Latent 0.002560 | Recon 0.015839
Epoch 131 | Train 0.031457 | Val 0.037889 | Pred 0.020409 | Latent 0.002732 | Recon 0.014748
Epoch 132 | Train 0.031227 | Val 0.040694 | Pred 0.022220 | Latent 0.002899 | Recon 0.015574
Epoch 133 | Train 0.032553 | Val 0.037173 | Pred 0.019504 | Latent 0.002580 | Recon 0.015089
Epoch 134 | Train 0.031495 | Val 0.043313 | Pred 0.023658 | Latent 0.003057 | Recon 0.016598
Epoch 135 | Train 0.033319 | Val 0.038747 | Pred 0.020346 | Latent 0.002755 | Recon 0.015646
Epoch 136 | Train 0.031136 | Val 0.038298 | Pred 0.020378 | Latent 0.002665 | Recon 0.015255
Epoch 137 | Train 0.031638 | Val 0.036767 | Pred 0.019330 | Latent 0.002488 | Recon 0.014950
Epoch 138 | Train 0.031490 | Val 0.044668 | Pred 0.023912 | Latent 0.003219 | Recon 0.017537
Epoch 139 | Train 0.032973 | Val 0.036017 | Pred 0.018982 | Latent 0.002581 | Recon 0.014454
Epoch 140 | Train 0.029545 | Val 0.038025 | Pred 0.020340 | Latent 0.002521 | Recon 0.015164
Epoch 141 | Train 0.029608 | Val 0.037938 | Pred 0.020450 | Latent 0.002528 | Recon 0.014960
Epoch 142 | Train 0.029809 | Val 0.036527 | Pred 0.019876 | Latent 0.002492 | Recon 0.014158
Epoch 143 | Train 0.030334 | Val 0.035243 | Pred 0.018573 | Latent 0.002406 | Recon 0.014264
Epoch 144 | Train 0.028991 | Val 0.034665 | Pred 0.018388 | Latent 0.002501 | Recon 0.013776
Epoch 145 | Train 0.028907 | Val 0.035100 | Pred 0.018724 | Latent 0.002479 | Recon 0.013897
Epoch 146 | Train 0.029009 | Val 0.036201 | Pred 0.019747 | Latent 0.002462 | Recon 0.013992
