Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ywjya7u4
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_024246-ywjya7u4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825452
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/ywjya7u4
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 052 | Train 0.052825 | Val 0.058246 | Pred 0.029806 | Latent 0.003815 | Recon 0.024626
Epoch 053 | Train 0.051641 | Val 0.057272 | Pred 0.029391 | Latent 0.003885 | Recon 0.023996
Epoch 054 | Train 0.050881 | Val 0.056676 | Pred 0.028882 | Latent 0.003883 | Recon 0.023911
Epoch 055 | Train 0.050730 | Val 0.063431 | Pred 0.033801 | Latent 0.005118 | Recon 0.024513
Epoch 056 | Train 0.051784 | Val 0.054889 | Pred 0.028168 | Latent 0.003630 | Recon 0.023091
Epoch 057 | Train 0.049093 | Val 0.060081 | Pred 0.031172 | Latent 0.004064 | Recon 0.024845
Epoch 058 | Train 0.049652 | Val 0.055266 | Pred 0.028946 | Latent 0.003757 | Recon 0.022564
Epoch 059 | Train 0.048766 | Val 0.052168 | Pred 0.026419 | Latent 0.003481 | Recon 0.022268
Epoch 060 | Train 0.047498 | Val 0.053147 | Pred 0.027478 | Latent 0.003542 | Recon 0.022127
Epoch 061 | Train 0.047028 | Val 0.051045 | Pred 0.026126 | Latent 0.003555 | Recon 0.021364
Epoch 062 | Train 0.047064 | Val 0.055020 | Pred 0.028377 | Latent 0.003586 | Recon 0.023057
Epoch 063 | Train 0.047778 | Val 0.051050 | Pred 0.026059 | Latent 0.003338 | Recon 0.021653
Epoch 064 | Train 0.045734 | Val 0.052855 | Pred 0.027398 | Latent 0.003543 | Recon 0.021914
Epoch 065 | Train 0.046286 | Val 0.051978 | Pred 0.026972 | Latent 0.003660 | Recon 0.021346
Epoch 066 | Train 0.045237 | Val 0.051322 | Pred 0.026728 | Latent 0.003550 | Recon 0.021043
Epoch 067 | Train 0.044320 | Val 0.051934 | Pred 0.026822 | Latent 0.003444 | Recon 0.021669
Epoch 068 | Train 0.043729 | Val 0.050300 | Pred 0.025769 | Latent 0.003319 | Recon 0.021212
Epoch 069 | Train 0.043403 | Val 0.050155 | Pred 0.025779 | Latent 0.003478 | Recon 0.020898
Epoch 070 | Train 0.043260 | Val 0.049450 | Pred 0.025533 | Latent 0.003425 | Recon 0.020491
Epoch 071 | Train 0.042920 | Val 0.051225 | Pred 0.026918 | Latent 0.003449 | Recon 0.020858
Epoch 072 | Train 0.042662 | Val 0.050845 | Pred 0.026146 | Latent 0.003429 | Recon 0.021271
Epoch 073 | Train 0.043385 | Val 0.056141 | Pred 0.031001 | Latent 0.004710 | Recon 0.020429
Epoch 074 | Train 0.043847 | Val 0.049495 | Pred 0.026081 | Latent 0.003288 | Recon 0.020126
Epoch 075 | Train 0.041824 | Val 0.049554 | Pred 0.026675 | Latent 0.003889 | Recon 0.018991
Epoch 076 | Train 0.041495 | Val 0.047738 | Pred 0.025011 | Latent 0.003288 | Recon 0.019439
Epoch 077 | Train 0.040600 | Val 0.046254 | Pred 0.024285 | Latent 0.003281 | Recon 0.018688
Epoch 078 | Train 0.040646 | Val 0.045389 | Pred 0.023643 | Latent 0.003116 | Recon 0.018630
Epoch 079 | Train 0.040256 | Val 0.049019 | Pred 0.025914 | Latent 0.003265 | Recon 0.019841
Epoch 080 | Train 0.040370 | Val 0.048057 | Pred 0.025581 | Latent 0.003484 | Recon 0.018991
Epoch 081 | Train 0.040395 | Val 0.044923 | Pred 0.023382 | Latent 0.003173 | Recon 0.018368
Epoch 082 | Train 0.039362 | Val 0.046299 | Pred 0.024042 | Latent 0.003071 | Recon 0.019186
Epoch 083 | Train 0.039439 | Val 0.046168 | Pred 0.024521 | Latent 0.003168 | Recon 0.018480
Epoch 084 | Train 0.038813 | Val 0.048487 | Pred 0.026599 | Latent 0.003667 | Recon 0.018220
Epoch 085 | Train 0.039281 | Val 0.047805 | Pred 0.025627 | Latent 0.003248 | Recon 0.018931
Epoch 086 | Train 0.039460 | Val 0.045521 | Pred 0.024074 | Latent 0.003180 | Recon 0.018267
Epoch 087 | Train 0.038397 | Val 0.049749 | Pred 0.026560 | Latent 0.003341 | Recon 0.019848
Epoch 088 | Train 0.039363 | Val 0.042466 | Pred 0.022022 | Latent 0.003003 | Recon 0.017442
Epoch 089 | Train 0.037356 | Val 0.042097 | Pred 0.021927 | Latent 0.002930 | Recon 0.017241
Epoch 090 | Train 0.037511 | Val 0.042901 | Pred 0.022442 | Latent 0.002941 | Recon 0.017518
Epoch 091 | Train 0.036644 | Val 0.047118 | Pred 0.025393 | Latent 0.003698 | Recon 0.018027
Epoch 092 | Train 0.037686 | Val 0.045655 | Pred 0.024376 | Latent 0.003162 | Recon 0.018116
Epoch 093 | Train 0.037600 | Val 0.048444 | Pred 0.026195 | Latent 0.003568 | Recon 0.018682
Epoch 094 | Train 0.038045 | Val 0.041562 | Pred 0.021948 | Latent 0.003010 | Recon 0.016603
Epoch 095 | Train 0.036103 | Val 0.043673 | Pred 0.023085 | Latent 0.003032 | Recon 0.017557
Epoch 096 | Train 0.036132 | Val 0.040793 | Pred 0.021572 | Latent 0.002975 | Recon 0.016246
Epoch 097 | Train 0.035351 | Val 0.043974 | Pred 0.023745 | Latent 0.003066 | Recon 0.017163
Epoch 098 | Train 0.035561 | Val 0.042610 | Pred 0.022887 | Latent 0.002984 | Recon 0.016739
Epoch 099 | Train 0.035489 | Val 0.039198 | Pred 0.020581 | Latent 0.002759 | Recon 0.015858
Epoch 100 | Train 0.035199 | Val 0.044057 | Pred 0.023649 | Latent 0.003000 | Recon 0.017408
Epoch 101 | Train 0.035899 | Val 0.045068 | Pred 0.024178 | Latent 0.003449 | Recon 0.017441
Epoch 102 | Train 0.035555 | Val 0.043343 | Pred 0.023657 | Latent 0.003117 | Recon 0.016569
Epoch 103 | Train 0.035406 | Val 0.040201 | Pred 0.021326 | Latent 0.002860 | Recon 0.016015
Epoch 104 | Train 0.034710 | Val 0.040406 | Pred 0.021533 | Latent 0.002906 | Recon 0.015967
Epoch 105 | Train 0.035255 | Val 0.040482 | Pred 0.021567 | Latent 0.002862 | Recon 0.016054
Epoch 106 | Train 0.034405 | Val 0.043045 | Pred 0.023184 | Latent 0.003145 | Recon 0.016716
Epoch 107 | Train 0.034645 | Val 0.038106 | Pred 0.020309 | Latent 0.002694 | Recon 0.015103
Epoch 108 | Train 0.033654 | Val 0.041919 | Pred 0.022674 | Latent 0.003007 | Recon 0.016238
Epoch 109 | Train 0.034356 | Val 0.042051 | Pred 0.022555 | Latent 0.002936 | Recon 0.016561
Epoch 110 | Train 0.033706 | Val 0.039839 | Pred 0.021568 | Latent 0.003014 | Recon 0.015257
Epoch 111 | Train 0.033359 | Val 0.037771 | Pred 0.020022 | Latent 0.002682 | Recon 0.015066
Epoch 112 | Train 0.032661 | Val 0.040147 | Pred 0.021047 | Latent 0.002972 | Recon 0.016128
Epoch 113 | Train 0.034001 | Val 0.043214 | Pred 0.023254 | Latent 0.003359 | Recon 0.016601
Epoch 114 | Train 0.033759 | Val 0.044181 | Pred 0.024479 | Latent 0.003110 | Recon 0.016591
Epoch 115 | Train 0.033762 | Val 0.039560 | Pred 0.021236 | Latent 0.002754 | Recon 0.015570
Epoch 116 | Train 0.032881 | Val 0.038348 | Pred 0.020175 | Latent 0.002704 | Recon 0.015469
Epoch 117 | Train 0.032053 | Val 0.038070 | Pred 0.020237 | Latent 0.002751 | Recon 0.015083
Epoch 118 | Train 0.032422 | Val 0.037779 | Pred 0.020264 | Latent 0.002673 | Recon 0.014842
Epoch 119 | Train 0.031848 | Val 0.039259 | Pred 0.021093 | Latent 0.002707 | Recon 0.015459
Epoch 120 | Train 0.031575 | Val 0.038432 | Pred 0.020597 | Latent 0.002622 | Recon 0.015213
Epoch 121 | Train 0.031777 | Val 0.040362 | Pred 0.021378 | Latent 0.003016 | Recon 0.015968
Epoch 122 | Train 0.032404 | Val 0.039249 | Pred 0.021340 | Latent 0.002729 | Recon 0.015180
Epoch 123 | Train 0.032001 | Val 0.037562 | Pred 0.019820 | Latent 0.002621 | Recon 0.015121
Epoch 124 | Train 0.031431 | Val 0.036758 | Pred 0.019321 | Latent 0.002608 | Recon 0.014830
Epoch 125 | Train 0.031289 | Val 0.035171 | Pred 0.018736 | Latent 0.002678 | Recon 0.013757
Epoch 126 | Train 0.030593 | Val 0.038857 | Pred 0.020574 | Latent 0.002886 | Recon 0.015396
Epoch 127 | Train 0.030948 | Val 0.034615 | Pred 0.018413 | Latent 0.002487 | Recon 0.013715
Epoch 128 | Train 0.030000 | Val 0.038061 | Pred 0.020501 | Latent 0.002611 | Recon 0.014949
Epoch 129 | Train 0.030919 | Val 0.039553 | Pred 0.021909 | Latent 0.002882 | Recon 0.014762
Epoch 130 | Train 0.031254 | Val 0.035971 | Pred 0.019064 | Latent 0.002585 | Recon 0.014322
Epoch 131 | Train 0.030129 | Val 0.037543 | Pred 0.019909 | Latent 0.002739 | Recon 0.014895
Epoch 132 | Train 0.030614 | Val 0.037393 | Pred 0.020164 | Latent 0.002661 | Recon 0.014568
Epoch 133 | Train 0.030806 | Val 0.037269 | Pred 0.019955 | Latent 0.002724 | Recon 0.014590
Epoch 134 | Train 0.030257 | Val 0.038621 | Pred 0.021403 | Latent 0.002635 | Recon 0.014583
Epoch 135 | Train 0.030448 | Val 0.036638 | Pred 0.019820 | Latent 0.002579 | Recon 0.014239
Epoch 136 | Train 0.030777 | Val 0.039310 | Pred 0.020720 | Latent 0.003013 | Recon 0.015576
Epoch 137 | Train 0.030953 | Val 0.036158 | Pred 0.019355 | Latent 0.002732 | Recon 0.014072
Epoch 138 | Train 0.030026 | Val 0.036265 | Pred 0.019136 | Latent 0.002616 | Recon 0.014514
Epoch 139 | Train 0.030358 | Val 0.034336 | Pred 0.018354 | Latent 0.002558 | Recon 0.013424
Epoch 140 | Train 0.028673 | Val 0.035817 | Pred 0.019274 | Latent 0.002418 | Recon 0.014125
Epoch 141 | Train 0.028445 | Val 0.036374 | Pred 0.019572 | Latent 0.002577 | Recon 0.014225
Epoch 142 | Train 0.028192 | Val 0.033250 | Pred 0.017759 | Latent 0.002409 | Recon 0.013082
Epoch 143 | Train 0.028310 | Val 0.036929 | Pred 0.019565 | Latent 0.002630 | Recon 0.014733
Epoch 144 | Train 0.029890 | Val 0.037189 | Pred 0.020216 | Latent 0.002663 | Recon 0.014310
Epoch 145 | Train 0.029234 | Val 0.032777 | Pred 0.017307 | Latent 0.002379 | Recon 0.013091
Epoch 146 | Train 0.027812 | Val 0.037005 | Pred 0.020364 | Latent 0.002526 | Recon 0.014115
Epoch 147 | Train 0.028880 | Val 0.044251 | Pred 0.026432 | Latent 0.003375 | Recon 0.014444
Epoch 148 | Train 0.031282 | Val 0.035364 | Pred 0.018564 | Latent 0.002635 | Recon 0.014166
Epoch 149 | Train 0.029100 | Val 0.036670 | Pred 0.020055 | Latent 0.002516 | Recon 0.014100
Epoch 150 | Train 0.028541 | Val 0.033912 | Pred 0.018134 | Latent 0.002526 | Recon 0.013252
Epoch 151 | Train 0.030096 | Val 0.042300 | Pred 0.024752 | Latent 0.003046 | Recon 0.014502
Epoch 152 | Train 0.030355 | Val 0.039106 | Pred 0.022592 | Latent 0.002943 | Recon 0.013571
Epoch 153 | Train 0.029502 | Val 0.033742 | Pred 0.018533 | Latent 0.002415 | Recon 0.012794
Epoch 154 | Train 0.027263 | Val 0.033161 | Pred 0.017609 | Latent 0.002326 | Recon 0.013226
Epoch 155 | Train 0.027147 | Val 0.031766 | Pred 0.017153 | Latent 0.002239 | Recon 0.012374
Epoch 156 | Train 0.026268 | Val 0.034358 | Pred 0.018488 | Latent 0.002274 | Recon 0.013596
Epoch 157 | Train 0.028168 | Val 0.032910 | Pred 0.017641 | Latent 0.002250 | Recon 0.013020
Epoch 158 | Train 0.028258 | Val 0.033122 | Pred 0.017749 | Latent 0.002429 | Recon 0.012944
Epoch 159 | Train 0.027688 | Val 0.035800 | Pred 0.018877 | Latent 0.002831 | Recon 0.014092
Epoch 160 | Train 0.028460 | Val 0.042334 | Pred 0.022665 | Latent 0.003111 | Recon 0.016558
