Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run e5sej2at
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_031545-e5sej2at
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825543
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/e5sej2at
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 052 | Train 0.054908 | Val 0.058191 | Pred 0.029830 | Latent 0.003716 | Recon 0.024644
Epoch 053 | Train 0.053792 | Val 0.065548 | Pred 0.034711 | Latent 0.005053 | Recon 0.025784
Epoch 054 | Train 0.054581 | Val 0.059274 | Pred 0.030739 | Latent 0.003902 | Recon 0.024633
Epoch 055 | Train 0.053005 | Val 0.062180 | Pred 0.033205 | Latent 0.004748 | Recon 0.024227
Epoch 056 | Train 0.053702 | Val 0.059895 | Pred 0.031641 | Latent 0.004068 | Recon 0.024186
Epoch 057 | Train 0.051289 | Val 0.058422 | Pred 0.030470 | Latent 0.003946 | Recon 0.024005
Epoch 058 | Train 0.051209 | Val 0.056264 | Pred 0.029178 | Latent 0.003697 | Recon 0.023389
Epoch 059 | Train 0.050373 | Val 0.055927 | Pred 0.029329 | Latent 0.003632 | Recon 0.022965
Epoch 060 | Train 0.049837 | Val 0.055195 | Pred 0.028468 | Latent 0.003326 | Recon 0.023401
Epoch 061 | Train 0.049289 | Val 0.057849 | Pred 0.030180 | Latent 0.003807 | Recon 0.023862
Epoch 062 | Train 0.049478 | Val 0.052413 | Pred 0.027230 | Latent 0.003335 | Recon 0.021848
Epoch 063 | Train 0.047974 | Val 0.055882 | Pred 0.029466 | Latent 0.003731 | Recon 0.022685
Epoch 064 | Train 0.048581 | Val 0.052386 | Pred 0.027373 | Latent 0.003345 | Recon 0.021668
Epoch 065 | Train 0.047292 | Val 0.053903 | Pred 0.028243 | Latent 0.003531 | Recon 0.022129
Epoch 066 | Train 0.047373 | Val 0.057884 | Pred 0.030452 | Latent 0.003861 | Recon 0.023570
Epoch 067 | Train 0.047341 | Val 0.054139 | Pred 0.028596 | Latent 0.003323 | Recon 0.022220
Epoch 068 | Train 0.046301 | Val 0.050996 | Pred 0.026796 | Latent 0.003232 | Recon 0.020968
Epoch 069 | Train 0.045718 | Val 0.057714 | Pred 0.032113 | Latent 0.004199 | Recon 0.021402
Epoch 070 | Train 0.048052 | Val 0.052772 | Pred 0.027795 | Latent 0.003364 | Recon 0.021613
Epoch 071 | Train 0.045394 | Val 0.052307 | Pred 0.027684 | Latent 0.003456 | Recon 0.021166
Epoch 072 | Train 0.045175 | Val 0.055126 | Pred 0.029750 | Latent 0.003963 | Recon 0.021412
Epoch 073 | Train 0.045606 | Val 0.049755 | Pred 0.026356 | Latent 0.003297 | Recon 0.020102
Epoch 074 | Train 0.043560 | Val 0.050171 | Pred 0.026339 | Latent 0.003162 | Recon 0.020670
Epoch 075 | Train 0.043273 | Val 0.048058 | Pred 0.025098 | Latent 0.003120 | Recon 0.019840
Epoch 076 | Train 0.043071 | Val 0.048231 | Pred 0.025480 | Latent 0.003134 | Recon 0.019617
Epoch 077 | Train 0.043156 | Val 0.047672 | Pred 0.025348 | Latent 0.003164 | Recon 0.019160
Epoch 078 | Train 0.043579 | Val 0.051672 | Pred 0.027966 | Latent 0.003245 | Recon 0.020461
Epoch 079 | Train 0.043311 | Val 0.053425 | Pred 0.029010 | Latent 0.004062 | Recon 0.020353
Epoch 080 | Train 0.043955 | Val 0.048662 | Pred 0.025801 | Latent 0.003229 | Recon 0.019631
Epoch 081 | Train 0.042755 | Val 0.047570 | Pred 0.025225 | Latent 0.002986 | Recon 0.019359
Epoch 082 | Train 0.042204 | Val 0.045945 | Pred 0.024110 | Latent 0.003020 | Recon 0.018815
Epoch 083 | Train 0.040575 | Val 0.048262 | Pred 0.025649 | Latent 0.003095 | Recon 0.019518
Epoch 084 | Train 0.041604 | Val 0.047559 | Pred 0.025549 | Latent 0.003043 | Recon 0.018967
Epoch 085 | Train 0.040949 | Val 0.045540 | Pred 0.024165 | Latent 0.003030 | Recon 0.018345
Epoch 086 | Train 0.040281 | Val 0.047465 | Pred 0.025489 | Latent 0.003134 | Recon 0.018842
Epoch 087 | Train 0.040402 | Val 0.047348 | Pred 0.025558 | Latent 0.003110 | Recon 0.018680
Epoch 088 | Train 0.040151 | Val 0.047822 | Pred 0.025885 | Latent 0.002923 | Recon 0.019014
Epoch 089 | Train 0.040258 | Val 0.053129 | Pred 0.029512 | Latent 0.003718 | Recon 0.019899
Epoch 090 | Train 0.040885 | Val 0.053027 | Pred 0.030428 | Latent 0.003820 | Recon 0.018778
Epoch 091 | Train 0.041775 | Val 0.044246 | Pred 0.023206 | Latent 0.002818 | Recon 0.018221
Epoch 092 | Train 0.039044 | Val 0.045051 | Pred 0.023936 | Latent 0.002906 | Recon 0.018209
Epoch 093 | Train 0.039254 | Val 0.046122 | Pred 0.025075 | Latent 0.002902 | Recon 0.018145
Epoch 094 | Train 0.038846 | Val 0.043703 | Pred 0.023267 | Latent 0.002973 | Recon 0.017463
Epoch 095 | Train 0.038131 | Val 0.045773 | Pred 0.024985 | Latent 0.003041 | Recon 0.017747
Epoch 096 | Train 0.038246 | Val 0.045333 | Pred 0.024255 | Latent 0.002893 | Recon 0.018186
Epoch 097 | Train 0.038320 | Val 0.043966 | Pred 0.023648 | Latent 0.002823 | Recon 0.017494
Epoch 098 | Train 0.037656 | Val 0.049754 | Pred 0.027673 | Latent 0.003179 | Recon 0.018902
Epoch 099 | Train 0.038782 | Val 0.043145 | Pred 0.022899 | Latent 0.002766 | Recon 0.017480
Epoch 100 | Train 0.036694 | Val 0.046429 | Pred 0.025017 | Latent 0.003031 | Recon 0.018382
Epoch 101 | Train 0.038343 | Val 0.042145 | Pred 0.022366 | Latent 0.002727 | Recon 0.017052
Epoch 102 | Train 0.037066 | Val 0.042999 | Pred 0.022860 | Latent 0.002826 | Recon 0.017313
Epoch 103 | Train 0.037145 | Val 0.042784 | Pred 0.023085 | Latent 0.002861 | Recon 0.016837
Epoch 104 | Train 0.036923 | Val 0.042797 | Pred 0.022914 | Latent 0.002747 | Recon 0.017137
Epoch 105 | Train 0.036900 | Val 0.042472 | Pred 0.023031 | Latent 0.002747 | Recon 0.016695
Epoch 106 | Train 0.036585 | Val 0.040052 | Pred 0.021174 | Latent 0.002682 | Recon 0.016196
Epoch 107 | Train 0.036123 | Val 0.042599 | Pred 0.022665 | Latent 0.002835 | Recon 0.017099
Epoch 108 | Train 0.036152 | Val 0.041446 | Pred 0.022085 | Latent 0.002720 | Recon 0.016642
Epoch 109 | Train 0.035273 | Val 0.042879 | Pred 0.023046 | Latent 0.002697 | Recon 0.017136
Epoch 110 | Train 0.035881 | Val 0.048370 | Pred 0.026239 | Latent 0.002793 | Recon 0.019338
Epoch 111 | Train 0.036521 | Val 0.038408 | Pred 0.020412 | Latent 0.002565 | Recon 0.015432
Epoch 112 | Train 0.034714 | Val 0.043973 | Pred 0.023696 | Latent 0.003085 | Recon 0.017192
Epoch 113 | Train 0.035918 | Val 0.040331 | Pred 0.021923 | Latent 0.002736 | Recon 0.015672
Epoch 114 | Train 0.035096 | Val 0.040576 | Pred 0.022088 | Latent 0.002616 | Recon 0.015872
Epoch 115 | Train 0.034735 | Val 0.044290 | Pred 0.024611 | Latent 0.002857 | Recon 0.016823
Epoch 116 | Train 0.034997 | Val 0.040361 | Pred 0.021754 | Latent 0.002713 | Recon 0.015894
Epoch 117 | Train 0.034631 | Val 0.041448 | Pred 0.022572 | Latent 0.002613 | Recon 0.016263
Epoch 118 | Train 0.035033 | Val 0.038905 | Pred 0.021066 | Latent 0.002586 | Recon 0.015254
Epoch 119 | Train 0.033653 | Val 0.038016 | Pred 0.020218 | Latent 0.002503 | Recon 0.015295
Epoch 120 | Train 0.033309 | Val 0.038798 | Pred 0.021033 | Latent 0.002482 | Recon 0.015282
Epoch 121 | Train 0.034040 | Val 0.038274 | Pred 0.020688 | Latent 0.002547 | Recon 0.015039
Epoch 122 | Train 0.033300 | Val 0.037978 | Pred 0.020384 | Latent 0.002510 | Recon 0.015083
Epoch 123 | Train 0.033237 | Val 0.040968 | Pred 0.022669 | Latent 0.002763 | Recon 0.015536
Epoch 124 | Train 0.033571 | Val 0.040393 | Pred 0.021755 | Latent 0.002861 | Recon 0.015777
Epoch 125 | Train 0.033982 | Val 0.042858 | Pred 0.023962 | Latent 0.002889 | Recon 0.016007
Epoch 126 | Train 0.033966 | Val 0.038548 | Pred 0.020760 | Latent 0.002541 | Recon 0.015246
